Columna,Método,Tamaño,Tiempo (s)
isbn,timSort,114,0.00014358000007632654
isbn,combSort,114,8.629999956610846e-06
isbn,selectionSort,114,0.0006237700000383484
isbn,quickSort,114,0.00013209999997343402
isbn,heapSort,114,0.00040299000002050887
isbn,bitonicSort,114,0.00043140999996467145
isbn,gnomeSort,114,2.6679999973566736e-05
isbn,binaryInsertionSort,114,0.0003832299999885436
